,id,lons,lats,lat1,lon1,dist1,i1,j1,w1,lat2,lon2,dist2,i2,j2,w2,lat3,lon3,dist3,i3,j3,w3,lat4,lon4,dist4,i4,j4,w4
27,28,-3.36,39.17,40.0,-3.0,97.20312975869996,2.0,2.0,0.47213492945191393,37.0,-3.0,242.92703701295645,3.0,2.0,0.18891677672206306,40.0,-6.0,244.7921006101362,2.0,1.0,0.18747742552452584,40.0,0.0,302.98230495239983,2.0,3.0,0.15147086830149728
28,29,-6.34,42.45,43.0,-6.0,67.14476740816771,1.0,1.0,0.5612436706690656,43.0,-9.0,226.25729917397638,1.0,0.0,0.1665562873063548,40.0,-6.0,273.58145095109967,2.0,1.0,0.13774536100810605,43.0,-3.0,280.277156893954,1.0,2.0,0.1344546810164735
29,30,-3.12,38.76,40.0,-3.0,138.05587918393374,2.0,2.0,0.37744963768799394,37.0,-3.0,195.63483319137478,3.0,2.0,0.26635922002549933,40.0,-6.0,283.7525815661316,2.0,1.0,0.1836428810305948,40.0,0.0,301.9974886990516,2.0,3.0,0.1725482612559119
30,31,-5.79,42.9,43.0,-6.0,20.4231888174897,1.0,1.0,0.8124719760834894,43.0,-3.0,227.9440037542678,1.0,2.0,0.07279537212288438,43.0,-9.0,262.17808417208914,1.0,0.0,0.06329006724139667,40.0,-6.0,322.5589989481378,2.0,1.0,0.05144258455222948
31,32,-2.23,41.99,43.0,-3.0,128.8165898521061,1.0,2.0,0.384155644488184,43.0,0.0,214.91409428257208,1.0,3.0,0.23025767695971344,40.0,-3.0,230.29531325356072,2.0,2.0,0.21487897168328826,40.0,0.0,289.8850965963395,2.0,3.0,0.17070770686881442
32,33,-4.95,40.59,40.0,-6.0,110.7340740858393,2.0,1.0,0.4222291935809408,40.0,-3.0,178.2682368587787,2.0,2.0,0.26227419773178545,43.0,-6.0,281.53772913754483,1.0,1.0,0.16607066820644106,43.0,-3.0,312.8985412622752,1.0,2.0,0.1494259404808326
33,34,-4.63,43.39,43.0,-6.0,119.48749656664587,1.0,1.0,0.3817698356208526,43.0,-3.0,139.3924940277361,1.0,2.0,0.32725378967621344,46.0,-6.0,309.68711409747687,0.0,1.0,0.14729938653061717,46.0,-3.0,317.4949760798567,0.0,2.0,0.14367698817231683
34,35,-7.09,38.59,40.0,-6.0,182.6055588516412,2.0,1.0,0.2888959062107426,37.0,-6.0,200.89659392212073,3.0,1.0,0.2625927964911865,40.0,-9.0,227.2615100435825,2.0,0.0,0.23212904989255428,37.0,-9.0,243.80002997519045,3.0,0.0,0.21638224740551643
35,36,-6.32,39.2,40.0,-6.0,92.97659552817397,2.0,1.0,0.4839235661589629,37.0,-6.0,245.80372441263773,3.0,1.0,0.1830467206500966,40.0,-9.0,246.71436625098346,2.0,0.0,0.18237108102388053,40.0,-3.0,298.64578637234473,2.0,2.0,0.15065863216705988
36,37,-5.56,36.75,37.0,-6.0,48.04827853570659,3.0,1.0,0.6573919493485185,37.0,-3.0,229.91508599446647,3.0,2.0,0.13738355337930694,34.0,-6.0,307.7130696449399,4.0,1.0,0.10264936593650517,37.0,-9.0,307.9357645281893,3.0,0.0,0.10257513133566926
37,38,-5.15,40.3,40.0,-6.0,79.71853578320987,2.0,1.0,0.518494449030873,40.0,-3.0,186.19334477877095,2.0,2.0,0.22199299517163001,43.0,-6.0,308.120647335183,1.0,1.0,0.13414751217077436,40.0,-9.0,329.7060894545307,2.0,0.0,0.1253650436267226
38,39,-4.74,41.19,40.0,-6.0,169.81277931521157,2.0,1.0,0.3035010225524352,40.0,-3.0,197.87042364082697,2.0,2.0,0.2604651630917301,43.0,-6.0,226.45404384031988,1.0,1.0,0.22758857069021518,43.0,-3.0,247.25127452326888,1.0,2.0,0.2084452436656194
39,40,-6.78,39.3,40.0,-6.0,102.57630629524873,2.0,1.0,0.45327042188263494,40.0,-9.0,205.77192800117018,2.0,0.0,0.2259531029390237,37.0,-6.0,264.29132677701597,3.0,1.0,0.17592255560031184,37.0,-9.0,320.9772007899593,3.0,0.0,0.14485391957802946
40,41,-5.23,38.65,40.0,-6.0,163.92560750211618,2.0,1.0,0.3202624184072797,37.0,-6.0,195.28071881476654,3.0,1.0,0.2688397083754508,40.0,-3.0,243.78725091754544,2.0,2.0,0.2153484700283474,37.0,-3.0,268.4703233115482,3.0,2.0,0.19554940318892222
41,42,-6.27,41.2,40.0,-6.0,135.20066564434126,2.0,1.0,0.3806276523752358,43.0,-6.0,201.17869744914802,1.0,1.0,0.25579801746545583,40.0,-9.0,266.72222688988336,2.0,0.0,0.19293897086807318,43.0,-9.0,301.58527621430795,1.0,0.0,0.17063535929123508
42,43,-3.77,40.33,40.0,-3.0,75.13505057981325,2.0,2.0,0.5351973885518483,40.0,-6.0,193.4651016349389,2.0,1.0,0.20785186847241174,43.0,-3.0,303.39886832582334,1.0,2.0,0.13253867122484747,40.0,0.0,323.21688959205557,2.0,3.0,0.12441207175089242
43,44,-2.73,37.4,37.0,-3.0,50.45053188116437,3.0,2.0,0.6448369862947513,37.0,0.0,246.3863966420183,3.0,3.0,0.1320380076927887,40.0,-3.0,289.5791189041265,2.0,2.0,0.11234362842988026,37.0,-6.0,293.66279464223743,3.0,1.0,0.11078137758257982
44,45,-2.84,41.91,43.0,-3.0,121.79265600507749,1.0,2.0,0.4063860641906778,40.0,-3.0,212.53852434677802,2.0,2.0,0.23287466718493227,43.0,0.0,263.10487969236567,1.0,3.0,0.18811828263734295,43.0,-6.0,286.72549770366015,1.0,1.0,0.17262098598704687
45,46,-2.3,39.69,40.0,-3.0,69.09386630422507,2.0,2.0,0.5588540127387981,40.0,0.0,199.82971338442064,2.0,3.0,0.19323144584345198,37.0,-3.0,304.8008589907438,3.0,2.0,0.12668397512923946,40.0,-6.0,318.5119530652041,2.0,1.0,0.1212305662885106
46,47,-6.0,36.25,37.0,-6.0,83.22797441400232,3.0,1.0,0.5192319385275266,34.0,-6.0,249.621558257722,4.0,1.0,0.17312055415536198,37.0,-3.0,280.935950832573,3.0,2.0,0.15382375365855566,37.0,-9.0,280.935950832573,3.0,0.0,0.15382375365855566
47,48,0.81,41.45,40.0,0.0,174.95624492424167,2.0,3.0,0.29749333061158517,43.0,0.0,184.69852728629908,1.0,3.0,0.281801467388689,40.0,3.0,245.25951380010872,2.0,4.0,0.21221731710774444,43.0,3.0,249.6467170779511,1.0,4.0,0.20848788489198133
48,49,-5.68,38.6,40.0,-6.0,157.8613530302915,2.0,1.0,0.3356663845272396,37.0,-6.0,179.81026014798948,3.0,1.0,0.2946925808607626,40.0,-3.0,278.54702993887605,2.0,2.0,0.19023268580492103,37.0,-3.0,295.35275242534306,3.0,2.0,0.1794083488070768
49,50,-7.13,37.59,37.0,-6.0,119.69114631704976,3.0,1.0,0.40422648634028824,37.0,-9.0,178.26356320596275,3.0,0.0,0.2714089780976846,40.0,-6.0,284.972893963873,2.0,1.0,0.1697787142096257,40.0,-9.0,312.9803956048958,2.0,0.0,0.15458582135240145
