,id,lons,lats,lat1,lon1,dist1,i1,j1,w1,lat2,lon2,dist2,i2,j2,w2,lat3,lon3,dist3,i3,j3,w3,lat4,lon4,dist4,i4,j4,w4
32,33,-4.95,40.59,43.0,-6.0,,1.0,1.0,0.12783333333333408,43.0,-3.0,,1.0,2.0,0.06883333333333372,40.0,-3.0,,2.0,2.0,0.28116666666666623,40.0,-6.0,,2.0,1.0,0.5221666666666659
33,34,-4.63,43.39,46.0,-6.0,,0.0,1.0,0.07063333333333344,46.0,-3.0,,0.0,2.0,0.059366666666666755,43.0,-3.0,,1.0,2.0,0.39729999999999993,43.0,-6.0,,1.0,1.0,0.4726999999999999
34,35,-7.09,38.59,40.0,-9.0,,2.0,0.0,0.19256666666666705,40.0,-6.0,,2.0,1.0,0.3374333333333341,37.0,-6.0,,3.0,1.0,0.29923333333333263,37.0,-9.0,,3.0,0.0,0.17076666666666623
35,36,-6.32,39.2,40.0,-9.0,,2.0,0.0,0.07822222222222239,40.0,-6.0,,2.0,1.0,0.6551111111111119,37.0,-6.0,,3.0,1.0,0.23822222222222134,37.0,-9.0,,3.0,0.0,0.02844444444444437
36,37,-5.56,36.75,37.0,-6.0,,3.0,1.0,0.7822222222222222,37.0,-3.0,,3.0,2.0,0.13444444444444456,34.0,-3.0,,4.0,2.0,0.012222222222222233,34.0,-6.0,,4.0,1.0,0.0711111111111111
37,38,-5.15,40.3,43.0,-6.0,,1.0,1.0,0.071666666666666,43.0,-3.0,,1.0,2.0,0.02833333333333305,40.0,-3.0,,2.0,2.0,0.2550000000000001,40.0,-6.0,,2.0,1.0,0.6450000000000008
38,39,-4.74,41.19,43.0,-6.0,,1.0,1.0,0.23006666666666625,43.0,-3.0,,1.0,2.0,0.16659999999999967,40.0,-3.0,,2.0,2.0,0.2534000000000003,40.0,-6.0,,2.0,1.0,0.3499333333333338
39,40,-6.78,39.3,40.0,-9.0,,2.0,0.0,0.19933333333333314,40.0,-6.0,,2.0,1.0,0.5673333333333326,37.0,-6.0,,3.0,1.0,0.17266666666666733,37.0,-9.0,,3.0,0.0,0.06066666666666693
40,41,-5.23,38.65,40.0,-6.0,,2.0,1.0,0.40883333333333305,40.0,-3.0,,2.0,2.0,0.14116666666666647,37.0,-3.0,,3.0,2.0,0.11550000000000006,37.0,-6.0,,3.0,1.0,0.33450000000000046
41,42,-6.27,41.2,43.0,-9.0,,1.0,0.0,0.036000000000000025,43.0,-6.0,,1.0,1.0,0.36400000000000093,40.0,-6.0,,2.0,1.0,0.5459999999999992,40.0,-9.0,,2.0,0.0,0.05399999999999983
42,43,-3.77,40.33,43.0,-6.0,,1.0,1.0,0.02823333333333319,43.0,-3.0,,1.0,2.0,0.08176666666666625,40.0,-3.0,,2.0,2.0,0.6615666666666671,40.0,-6.0,,2.0,1.0,0.22843333333333346
43,44,-2.73,37.4,40.0,-3.0,,2.0,2.0,0.1213333333333329,40.0,0.0,,2.0,3.0,0.011999999999999959,37.0,0.0,,3.0,3.0,0.07800000000000004,37.0,-3.0,,3.0,2.0,0.7886666666666671
44,45,-2.84,41.91,43.0,-3.0,,1.0,2.0,0.60271111111111,43.0,0.0,,1.0,3.0,0.033955555555555524,40.0,0.0,,2.0,3.0,0.019377777777777855,40.0,-3.0,,2.0,2.0,0.3439555555555566
45,46,-2.3,39.69,40.0,-3.0,,2.0,2.0,0.6874444444444437,40.0,0.0,,2.0,3.0,0.2092222222222221,37.0,0.0,,3.0,3.0,0.02411111111111129,37.0,-3.0,,3.0,2.0,0.0792222222222228
46,47,-6.0,36.25,37.0,-6.0,,3.0,1.0,0.75,37.0,-3.0,,3.0,2.0,0.0,34.0,-3.0,,4.0,2.0,0.0,34.0,-6.0,,4.0,1.0,0.25
47,48,0.81,41.45,43.0,0.0,,1.0,3.0,0.352833333333334,43.0,3.0,,1.0,4.0,0.13050000000000025,40.0,3.0,,2.0,4.0,0.13949999999999976,40.0,0.0,,2.0,3.0,0.377166666666666
48,49,-5.68,38.6,40.0,-6.0,,2.0,1.0,0.4764444444444448,40.0,-3.0,,2.0,2.0,0.05688888888888899,37.0,-3.0,,3.0,2.0,0.049777777777777775,37.0,-6.0,,3.0,1.0,0.4168888888888884
49,50,-7.13,37.59,40.0,-9.0,,2.0,0.0,0.0740777777777782,40.0,-6.0,,2.0,1.0,0.1225888888888896,37.0,-6.0,,3.0,1.0,0.5007444444444438,37.0,-9.0,,3.0,0.0,0.30258888888888846
